序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1266,基隆市,2018/12/06,基隆,2.7,0.35,-,27.4,35,11,15.09,4.84,10.28,1.952,0.101,1.851,1.07,0.65,22.19,-,-,88.39,-
1267,基隆市,2018/12/05,基隆,1.6,0.37,-,35.5,45,11,8.06,1.09,6.97,1.875,0.068,1.807,1.43,1.1,21.75,-,-,86.49,-
1268,基隆市,2018/12/04,基隆,3.6,0.47,-,20.8,37,15,26.42,6.14,20.28,2.052,0.18,1.872,1.38,0.98,23.55,-,-,74.75,-
1269,基隆市,2018/12/03,基隆,2.7,0.51,-,25.4,50,24,26.69,6.19,20.5,2.123,0.191,1.932,0.9,0.52,22.05,-,-,81.71,-
1270,基隆市,2018/12/02,基隆,0.9,0.26,-,28.8,26,10,10.57,1.5,9.06,1.919,0.097,1.822,1.59,1.13,23.79,-,-,69.65,-
1271,基隆市,2018/12/01,基隆,1.8,0.28,-,28.2,36,14,14.25,2.29,11.94,1.939,0.112,1.827,1.45,1.01,22.88,-,-,69.72,-
1272,新竹市,2018/12/31,新竹,1.3,0.22,-,30.7,12,9,7.49,0.71,6.75,1.856,0.062,1.795,4.59,3.47,16.95,-,-,82.4,-
1273,新竹市,2018/12/30,新竹,1.4,0.29,-,32.9,15,9,7.9,0.98,6.92,1.853,0.053,1.8,4.7,3.45,16.73,-,-,73.82,-
1274,新竹市,2018/12/29,新竹,1.4,0.31,-,32.6,25,12,7.3,1.16,6.12,1.895,0.072,1.823,5.49,4.08,14.55,-,-,71.93,-
1275,新竹市,2018/12/28,新竹,1.4,0.33,-,31.1,23,13,8.63,1.78,6.87,1.913,0.085,1.828,5.02,3.91,16.09,-,-,74.45,-
1276,新竹市,2018/12/27,新竹,1.4,0.33,-,30.8,20,13,9.73,1.02,8.76,1.886,0.081,1.805,4.45,3.38,17.8,-,-,83.29,-
1277,新竹市,2018/12/26,新竹,1.4,0.29,-,23.5,17,13,14.3,1.93,12.36,1.935,0.113,1.822,2.4,1.87,20.26,-,-,88.84,-
1278,新竹市,2018/12/25,新竹,2.1,0.29,-,25.7,26,13,12.46,1.48,10.97,1.955,0.106,1.849,1.98,1.5,21.12,-,-,84.46,-
1279,新竹市,2018/12/24,新竹,2,0.31,-,33.1,14,9,11.7,1.01,10.68,1.892,0.092,1.8,4.21,3.25,18.06,-,-,82.01,-
1280,新竹市,2018/12/23,新竹,1.7,0.38,-,27.9,35,19,11.95,0.95,10.96,1.93,0.092,1.838,3.76,2.88,20.63,-,-,86.93,-
1281,新竹市,2018/12/22,新竹,2.7,0.51,-,26.7,81,43,21.76,4.1,17.62,2.097,0.181,1.916,1.46,1.06,22.25,-,-,82.13,-
1282,新竹市,2018/12/21,新竹,2.9,0.56,-,22.1,59,33,26.68,3.77,22.91,2.13,0.218,1.913,1.54,1.18,21.28,-,-,79.06,-
1283,新竹市,2018/12/20,新竹,3,0.71,-,26.1,66,39,40.81,10.77,30.05,2.24,0.258,1.983,1.24,0.94,20.28,-,-,68.41,-
1284,新竹市,2018/12/19,新竹,3.2,0.65,-,36.5,74,40,30.46,6.41,24.06,2.188,0.222,1.966,1.22,0.89,18.52,-,-,66.81,-
1285,新竹市,2018/12/18,新竹,2.6,0.33,-,42.3,49,20,16.54,1.9,14.64,1.974,0.132,1.842,2.76,2.14,18.59,-,-,51.19,-
1286,新竹市,2018/12/17,新竹,2.4,0.44,-,36.7,49,22,10.53,0.97,9.55,1.964,0.112,1.852,3.61,2.75,17.03,-,-,62.55,-
1287,新竹市,2018/12/16,新竹,2.5,0.38,-,19.1,36,19,17.05,1.5,15.52,1.977,0.113,1.864,1.56,1.08,20.41,-,-,78.98,-
1288,新竹市,2018/12/15,新竹,1.9,0.35,-,27.3,20,13,14.62,1.56,13.05,1.893,0.101,1.792,2.67,2.1,21.5,-,-,70.92,-
1289,新竹市,2018/12/14,新竹,1.8,0.28,-,30.8,20,12,10.86,1.23,9.59,1.866,0.088,1.778,3.76,2.83,19.4,-,-,76.03,-
1290,新竹市,2018/12/13,新竹,1.9,0.39,-,26.1,29,17,12.45,1.09,11.32,1.923,0.108,1.815,3.53,2.68,18,-,-,77.53,-
1291,新竹市,2018/12/12,新竹,2,0.39,-,25.6,36,18,10.88,1.16,9.67,1.903,0.09,1.813,4.42,3.4,16.52,-,-,78.09,-
1292,新竹市,2018/12/11,新竹,2,0.27,-,19.9,28,11,11.58,0.83,10.74,1.9,0.104,1.796,2.91,2.24,20.1,-,-,87.05,-
1293,新竹市,2018/12/10,新竹,1.5,0.27,-,21.9,20,9,11.14,0.96,10.17,1.864,0.091,1.773,3.04,2.45,20.58,-,-,87.87,-
1294,新竹市,2018/12/09,新竹,1.3,0.21,-,26.4,15,6,9.43,1.02,8.38,1.842,0.065,1.777,4.17,3.29,19.06,-,-,80.48,-
1295,新竹市,2018/12/08,新竹,1.7,0.26,-,27.1,18,6,8.87,1.51,7.36,1.855,0.069,1.785,4.76,3.72,19.21,-,-,77.14,-
1296,新竹市,2018/12/07,新竹,1.5,0.29,-,28.4,19,8,11.25,1.42,9.81,1.86,0.08,1.779,4.72,3.73,19.6,-,-,79.61,-
1297,新竹市,2018/12/06,新竹,2.4,0.46,-,19.7,47,18,20.82,4.19,16.62,2.034,0.16,1.874,1.95,1.36,23.62,-,-,79.1,-
1298,新竹市,2018/12/05,新竹,1.9,0.49,-,25.2,39,16,16.07,1.17,14.92,1.977,0.137,1.84,2.73,2.26,23.2,-,-,75.55,-
1299,新竹市,2018/12/04,新竹,2,0.42,-,12.5,39,21,25.65,7.79,17.86,2.004,0.17,1.835,1.3,1.05,24.42,-,-,67.85,-
1300,新竹市,2018/12/03,新竹,2.7,0.59,-,21,63,38,29.11,5.69,23.39,2.135,0.21,1.926,1.04,0.78,22.73,-,-,75.75,-
1301,新竹市,2018/12/02,新竹,2.5,0.5,-,32.6,57,36,19.32,2.22,17.08,2.031,0.153,1.879,1.24,0.9,22.3,-,-,73.03,-
1302,新竹市,2018/12/01,新竹,3,0.53,-,35,83,48,20.12,1.96,18.15,2.096,0.167,1.929,1.36,0.89,22.97,-,-,77.05,-
1303,嘉義市,2018/12/31,嘉義,2.1,0.36,-,22.4,30,13,16.14,1.17,14.95,1.953,0.105,1.848,2.51,2.17,18.04,-,-,75.93,-
1304,嘉義市,2018/12/30,嘉義,3.2,0.45,-,25,38,18,18.15,1.18,16.97,2.034,0.127,1.907,1.75,1.42,17.73,-,-,66.42,-
1305,嘉義市,2018/12/29,嘉義,1.7,0.38,-,29.7,37,12,15.13,0.84,14.29,1.953,0.103,1.851,2.8,2.43,16.75,-,-,63.57,-
1306,嘉義市,2018/12/28,嘉義,2.2,0.4,-,27.2,41,16,19.57,1.96,17.6,1.969,0.114,1.855,2.95,2.5,18.32,-,-,65.65,-
1307,嘉義市,2018/12/27,嘉義,1.6,0.34,-,27,38,10,17.17,1.61,15.57,1.954,0.119,1.835,3.43,2.99,20.47,-,-,71.72,-
1308,嘉義市,2018/12/26,嘉義,2.8,0.37,-,18.8,40,16,20.66,1.74,18.91,1.985,0.144,1.841,2.83,2.52,21.86,-,-,81.36,-
1309,嘉義市,2018/12/25,嘉義,3.7,0.47,-,20.3,58,24,26.42,4.1,22.32,2.096,0.199,1.897,2.45,2.18,21.78,-,-,76.63,-
1310,嘉義市,2018/12/24,嘉義,2.8,0.46,-,25.2,35,13,21.89,2.13,19.75,2.004,0.141,1.863,2.58,2.39,20.18,-,-,75.18,-
1311,嘉義市,2018/12/23,嘉義,3.3,0.49,-,19.5,90,43,18.3,1.22,17.09,2.057,0.162,1.895,2.4,2.16,22.25,-,-,81.95,-
1312,嘉義市,2018/12/22,嘉義,3.9,0.56,-,29,121,62,21.55,2.22,19.33,2.1,0.202,1.898,2.41,2.06,22.49,-,-,78.74,-
1313,嘉義市,2018/12/21,嘉義,3.7,0.49,-,33.4,75,32,20.62,1.59,19.03,2.144,0.205,1.939,1.69,1.55,21.66,-,-,68.04,-
1314,嘉義市,2018/12/20,嘉義,1.8,0.42,-,29.9,42,21,19.66,1.71,17.95,2.06,0.195,1.865,1.19,1,21.68,-,-,56.32,-
1315,嘉義市,2018/12/19,嘉義,2.6,0.47,-,34.2,68,31,19.89,1.4,18.48,2.04,0.17,1.87,1.51,1.3,20.01,-,-,68.17,-
1316,嘉義市,2018/12/18,嘉義,5.3,0.61,-,30.1,79,40,31.07,4.19,26.85,2.217,0.274,1.943,1.6,1.24,19.42,-,-,59.96,-
1317,嘉義市,2018/12/17,嘉義,3.2,0.55,-,29.1,61,25,23.23,1.37,21.85,2.044,0.168,1.877,2.62,2.33,19.08,-,-,60.65,-
1318,嘉義市,2018/12/16,嘉義,3.5,0.48,-,24.2,61,33,21.38,1.92,19.45,2.028,0.154,1.874,2.39,2.04,22.08,-,-,73.25,-
1319,嘉義市,2018/12/15,嘉義,3.8,0.54,-,26.5,59,26,25.35,3.24,22.1,2.059,0.183,1.877,1.53,1.42,21.05,-,-,74.43,-
1320,嘉義市,2018/12/14,嘉義,3.9,0.53,-,21.9,57,31,27.09,3.41,23.67,2.083,0.212,1.871,2.13,1.75,20.69,-,-,73.31,-
1321,嘉義市,2018/12/13,嘉義,3.4,0.56,-,21.9,49,28,22.28,2.17,20.08,2.044,0.179,1.865,2.37,2.07,19.43,-,-,70.77,-
1322,嘉義市,2018/12/12,嘉義,3.1,0.46,-,14.3,33,11,22.56,2.44,20.12,1.986,0.156,1.83,2.57,2.24,18.52,-,-,71.65,-
1323,嘉義市,2018/12/11,嘉義,3.2,0.47,-,14.2,49,23,26.22,6.26,19.97,2.074,0.206,1.868,2.51,2.32,21.68,-,-,81.21,-
1324,嘉義市,2018/12/10,嘉義,2.6,0.43,-,10.9,34,15,24.19,4.05,20.14,2.016,0.171,1.845,2.27,1.98,20.95,-,-,80.81,-
1325,嘉義市,2018/12/09,嘉義,2.6,0.35,-,23.5,31,11,15.37,1.02,14.37,1.916,0.103,1.813,2.61,2.23,20.7,-,-,74.72,-
1326,嘉義市,2018/12/08,嘉義,2.9,0.34,-,24.4,37,12,17.77,1.65,16.11,1.92,0.11,1.81,2.67,2.31,20.88,-,-,71.48,-
1327,嘉義市,2018/12/07,嘉義,3.7,0.41,-,20.7,53,21,21.19,2.43,18.76,1.989,0.154,1.835,2.92,2.53,22.39,-,-,73.88,-
1328,嘉義市,2018/12/06,嘉義,5,0.56,-,24.4,76,31,27.36,4.16,23.22,2.178,0.254,1.924,1.78,1.58,24.99,-,-,75.33,-
1329,嘉義市,2018/12/05,嘉義,4.8,0.56,-,20.9,68,28,28.48,4.99,23.49,2.138,0.249,1.889,2.13,1.91,24.46,-,-,72.72,-
1330,嘉義市,2018/12/04,嘉義,3.4,0.49,-,22.9,37,15,22.67,3.29,19.37,2.068,0.241,1.827,1.86,1.62,24.51,-,-,64.89,-
1331,嘉義市,2018/12/03,嘉義,3.2,0.5,-,28.7,64,32,21.89,2.57,19.29,2.065,0.184,1.881,1.49,1.22,23.14,-,-,68.03,-
1332,嘉義市,2018/12/02,嘉義,3.2,0.4,-,35.9,69,36,15.35,1.67,13.66,1.974,0.113,1.862,1.48,1.27,22.4,-,-,76.05,-
1333,嘉義市,2018/12/01,嘉義,3.3,0.41,-,39.9,99,45,16.83,1.27,15.56,2.01,0.141,1.87,1.86,1.57,22.81,-,-,79.12,-
1334,宜蘭縣,2018/12/31,宜蘭,1.8,0.28,417.76,33.6,7,3,5.4,0.67,4.72,-,-,-,1.22,0.9,15.79,-,-,93.45,-
1335,宜蘭縣,2018/12/31,冬山,1.7,0.21,-,36.5,5,2,4.12,0.62,3.44,-,-,-,1.79,1.58,16.43,0,0,93.63,0
1336,宜蘭縣,2018/12/30,宜蘭,1.6,0.26,418.23,34.1,9,6,6.3,0.73,5.55,-,-,-,1.29,0.86,14.33,-,-,91.43,-
1337,宜蘭縣,2018/12/30,冬山,1,0.22,-,31.4,8,3,8.81,1.78,7.04,-,-,-,1.53,1.27,15.1,0,0,91.74,0
1338,宜蘭縣,2018/12/29,宜蘭,1.6,0.28,420.56,34.1,14,7,3.18,0.48,2.62,-,-,-,1.35,0.91,13.28,-,-,81.99,-
1339,宜蘭縣,2018/12/29,冬山,0.5,0.22,-,35.6,12,3,4.41,0.49,3.94,-,-,-,2.06,1.79,13.35,1.35,3.68,84.11,109.33
1340,宜蘭縣,2018/12/28,宜蘭,1.3,0.29,419.1,34.7,13,6,5.55,0.6,4.92,-,-,-,1.41,0.76,15.13,-,-,83.34,-
1341,宜蘭縣,2018/12/28,冬山,1.5,0.28,-,35.1,13,5,8.39,2.11,6.27,-,-,-,1.99,1.62,14.86,3.33,3.92,88.35,92.09
1342,宜蘭縣,2018/12/27,宜蘭,0.8,0.29,421.37,30.5,13,4,6.54,0.61,5.9,-,-,-,1.07,0.76,18.48,-,-,83.52,-
1343,宜蘭縣,2018/12/27,冬山,0.6,0.23,-,32.2,12,3,6.77,1.53,5.24,-,-,-,1.48,1.05,18.37,2.21,4.97,87.38,12.27
1344,宜蘭縣,2018/12/26,宜蘭,2,0.32,426.59,25.1,14,4,7.85,1.5,6.36,-,-,-,1.62,1.24,22.32,-,-,79.86,-
1345,宜蘭縣,2018/12/26,冬山,1.8,0.25,-,24.2,25,6,10.25,4.05,6.18,-,-,-,1.56,1.24,22.15,0,0,81.83,0
1346,宜蘭縣,2018/12/25,宜蘭,3.2,0.38,424.81,27,16,5,10.41,0.92,9.47,-,-,-,0.91,0.66,20.53,-,-,90.5,-
1347,宜蘭縣,2018/12/25,冬山,1.7,0.32,-,24.7,18,8,9.29,2.18,7.09,-,-,-,1.18,0.95,20.93,0.5,6.53,88.77,14.03
1348,宜蘭縣,2018/12/24,宜蘭,1.7,0.28,416.55,40.5,7,3,3.29,0.41,2.89,-,-,-,1.03,0.82,17.09,-,-,90.93,-
1349,宜蘭縣,2018/12/24,冬山,1.2,0.24,-,40.1,6,2,4.74,0.69,4.02,-,-,-,1.4,1.16,17.45,2.46,5.63,91.32,12.48
1350,宜蘭縣,2018/12/23,宜蘭,2.3,0.33,432.74,25.5,20,8,9.14,0.75,8.37,-,-,-,1.41,1.04,20.46,-,-,88.79,-
1351,宜蘭縣,2018/12/23,冬山,1,0.28,-,27.4,18,7,8.82,2.13,6.69,-,-,-,1.55,1.09,20.48,6.14,4.67,90.24,10
1352,宜蘭縣,2018/12/22,宜蘭,1.7,0.33,425.9,24.5,34,11,8.18,1.03,7.11,-,-,-,1.03,0.86,23.2,-,-,77.18,-
1353,宜蘭縣,2018/12/22,冬山,2,0.28,-,17.7,37,12,14.67,4.29,10.38,-,-,-,1.12,0.89,22.63,0,0,80.28,0
1354,宜蘭縣,2018/12/21,宜蘭,2.4,0.3,424.37,30.1,35,11,9.29,1.02,8.21,-,-,-,1.02,0.82,21.53,-,-,74.78,-
1355,宜蘭縣,2018/12/21,冬山,2.2,0.28,-,21.5,41,12,16.73,4.88,11.84,-,-,-,1.2,0.96,21.04,0,0,77.97,0
1356,宜蘭縣,2018/12/20,宜蘭,2.6,0.31,425,35.7,32,15,8.73,1.13,7.58,-,-,-,1.16,0.83,20.44,-,-,63.53,-
1357,宜蘭縣,2018/12/20,冬山,2.1,0.29,-,25.8,58,11,14.97,4.09,10.88,-,-,-,1.18,0.95,19.9,0,0,70.58,0
1358,宜蘭縣,2018/12/19,宜蘭,3.7,0.33,428.98,39.7,38,16,8.12,1.01,7.1,-,-,-,1.3,0.88,18.11,-,-,66.03,-
1359,宜蘭縣,2018/12/19,冬山,1.5,0.27,-,28.8,38,9,12.83,3.1,9.74,-,-,-,1.4,0.97,17.53,0,0,71.28,0
1360,宜蘭縣,2018/12/18,宜蘭,3.3,0.32,426.75,47.3,43,17,5.61,0.39,5.24,-,-,-,1.44,1.08,15.96,-,-,61.44,-
1361,宜蘭縣,2018/12/18,冬山,2.4,0.3,-,40,45,12,12.17,2.78,9.39,-,-,-,1.55,1.37,15.86,0,0,65.98,0
1362,宜蘭縣,2018/12/17,宜蘭,3,0.41,430.45,40.3,39,19,7.52,0.34,7.22,-,-,-,1.97,1.65,16.68,-,-,59.73,-
1363,宜蘭縣,2018/12/17,冬山,1.5,0.4,-,38.1,42,12,11.18,2.14,9.04,-,-,-,2.5,2.26,16.67,0,0,63.25,0
1364,宜蘭縣,2018/12/16,宜蘭,2,0.32,430.4,25.9,20,9,8.29,1.29,6.97,-,-,-,1.07,0.86,20.25,-,-,82.13,-
1365,宜蘭縣,2018/12/16,冬山,1.6,0.25,-,25,20,6,7.76,2.54,5.22,-,-,-,1.63,1.34,20.35,0,0,83.87,0
1366,宜蘭縣,2018/12/15,宜蘭,2.7,0.31,420.58,33.9,15,8,7.95,0.67,7.24,-,-,-,0.96,0.76,17.74,-,-,93.73,-
1367,宜蘭縣,2018/12/15,冬山,1.6,0.23,-,30.2,8,4,10.48,1.82,8.65,-,-,-,1.26,0.94,18.2,4.88,4.58,95.22,14.33
1368,宜蘭縣,2018/12/14,宜蘭,1.9,0.28,417.36,37.1,15,9,6.38,0.53,5.84,-,-,-,1.46,0.98,16.97,-,-,92.46,-
1369,宜蘭縣,2018/12/14,冬山,1.7,0.24,-,32.9,7,3,8.18,1.6,6.58,-,-,-,1.6,1.38,17.36,5.85,4.57,94.82,11.98
1370,宜蘭縣,2018/12/13,宜蘭,1.7,0.41,427.49,30.7,16,11,5.47,0.64,4.8,-,-,-,1.16,0.78,16.6,-,-,87.58,-
1371,宜蘭縣,2018/12/13,冬山,1.2,0.34,-,29.5,12,2,6.94,1.3,5.6,-,-,-,1.68,1.47,16.99,3.35,4.06,90.4,51.61
1372,宜蘭縣,2018/12/12,宜蘭,1.6,0.37,423.95,30.6,17,9,6.6,0.61,6.02,-,-,-,1.5,1.02,17.48,-,-,72.64,-
1373,宜蘭縣,2018/12/12,冬山,1.1,0.28,-,29.1,20,5,8.15,1.77,6.38,-,-,-,1.67,1.48,16.9,1.13,3.41,82.04,164.93
1374,宜蘭縣,2018/12/11,宜蘭,2.3,0.3,425.15,23.4,12,6,7.42,1.39,6.05,-,-,-,1.48,1.07,21.38,-,-,79.31,-
1375,宜蘭縣,2018/12/11,冬山,1.1,0.28,-,21.9,22,5,15.38,7.59,7.8,-,-,-,2.35,1.96,20.73,0,0,84.79,0
1376,宜蘭縣,2018/12/10,宜蘭,1.6,0.25,418.42,25.7,8,3,6.04,1.06,4.95,-,-,-,1.04,0.74,20.28,-,-,91.28,-
1377,宜蘭縣,2018/12/10,冬山,1.2,0.22,-,24.5,6,4,10.05,3.07,6.98,-,-,-,1.5,1.19,20.61,1.17,5.48,93.17,5.63
1378,宜蘭縣,2018/12/09,宜蘭,1.2,0.2,415.13,32.5,5,3,2.65,0.8,1.86,-,-,-,1.07,0.63,17.89,-,-,92.2,-
1379,宜蘭縣,2018/12/09,冬山,0.5,0.18,-,32.4,5,2,3.58,0.86,2.7,-,-,-,1.91,1.73,18.42,2,5.32,91.37,4.13
1380,宜蘭縣,2018/12/08,宜蘭,1.6,0.23,414.7,31.9,5,4,3.68,0.33,3.41,-,-,-,0.93,0.69,17.55,-,-,92.2,-
1381,宜蘭縣,2018/12/08,冬山,1.5,0.21,-,29.8,5,2,5.42,1.2,4.23,-,-,-,1.49,1.33,17.81,1.67,5.39,93.01,5.89
1382,宜蘭縣,2018/12/07,宜蘭,0.7,0.25,415.14,33.5,9,5,5.91,1.33,4.6,-,-,-,1.23,0.87,19.25,-,-,86.21,-
1383,宜蘭縣,2018/12/07,冬山,1.4,0.2,-,35.3,6,2,5.36,1.15,4.22,-,-,-,1.53,1.19,18.95,1.26,5,90.11,30.12
1384,宜蘭縣,2018/12/06,宜蘭,1.8,0.33,428.85,30.1,21,9,7.2,1.46,5.72,-,-,-,1.33,1.02,23.18,-,-,82.51,-
1385,宜蘭縣,2018/12/06,冬山,2.2,0.34,-,27.6,23,8,11.17,3.45,7.72,-,-,-,1.66,1.27,23,0.5,4,84.65,108.15
1386,宜蘭縣,2018/12/05,宜蘭,1.8,0.38,425.85,33.7,25,13,7.38,0.73,6.64,-,-,-,1.03,0.76,20.96,-,-,91.53,-
1387,宜蘭縣,2018/12/05,冬山,1.5,0.39,-,32.4,23,11,9.43,1.04,8.34,-,-,-,1.46,1.1,21.18,0.88,4.42,92.65,53.67
1388,宜蘭縣,2018/12/04,宜蘭,3,0.36,428.63,30.9,31,16,9.74,1.85,7.9,-,-,-,1.05,0.74,24,-,-,68.64,-
1389,宜蘭縣,2018/12/04,冬山,2.2,0.31,-,24.9,33,12,14.66,4.3,10.36,-,-,-,1.23,0.89,23.65,0,0,72.28,0
1390,宜蘭縣,2018/12/03,宜蘭,2,0.3,427.53,26.8,23,11,7.03,1.23,5.78,-,-,-,1.25,0.94,22.89,-,-,68.91,-
1391,宜蘭縣,2018/12/03,冬山,2.5,0.31,-,19.2,29,10,15.59,4.86,10.75,-,-,-,1.32,0.99,22.5,0,0,76.06,0
1392,宜蘭縣,2018/12/02,宜蘭,1.2,0.25,422.1,30.8,24,13,4.04,0.57,3.43,-,-,-,1.38,1.02,22.73,-,-,72.45,-
1393,宜蘭縣,2018/12/02,冬山,2.1,0.23,-,25,27,9,8.41,2.46,5.95,-,-,-,1.29,1.04,22.29,0,0,74.79,0
1394,宜蘭縣,2018/12/01,宜蘭,1.6,0.27,424.5,33.2,36,16,5.25,0.74,4.5,-,-,-,1.02,0.85,21.94,-,-,69.9,-
1395,宜蘭縣,2018/12/01,冬山,2.4,0.32,-,25.7,46,18,10.72,2.64,8.08,-,-,-,1.29,1,21.24,0,0,74.65,0
1396,桃園市,2018/12/31,桃園,3.8,0.38,-,23.5,5,7,14.74,2.51,12.23,2.065,0.089,1.975,2.35,2.09,16.15,-,-,89.91,-
1397,桃園市,2018/12/31,中壢,2.4,0.55,-,18.7,10,6,34.15,14.89,19.26,2.127,0.173,1.953,1.46,0.77,15.69,-,-,88.25,-
1398,桃園市,2018/12/31,大園,2.1,0.2,-,37.2,9,7,10.76,2.56,8.2,-,-,-,6.92,6.44,15.78,-,-,94.38,-
1399,桃園市,2018/12/31,龍潭,2.3,0.24,-,33.7,9,4,8.84,1.71,7.13,-,-,-,5.89,5.53,14.76,-,-,94.7,-
1400,桃園市,2018/12/31,平鎮,2.1,0.33,-,28.2,8,5,14.31,2.5,11.81,-,-,-,3.3,3.04,15.22,-,-,90.88,-
1401,桃園市,2018/12/31,觀音,2.9,0.18,-,34.2,14,12,4.55,0.29,4.26,-,-,-,7.68,6.99,15.63,0.5,4.46,91.36,969.3
1402,桃園市,2018/12/30,桃園,3.1,0.31,-,28.6,10,5,10.12,2.38,7.74,2.026,0.067,1.96,3.64,3.21,15.24,-,-,84.3,-
1403,桃園市,2018/12/30,中壢,2.1,0.54,-,25.9,13,6,26.67,10.67,16.01,2.068,0.135,1.932,1.89,0.7,15.38,-,-,79.68,-
1404,桃園市,2018/12/30,大園,2.7,0.21,-,38.5,16,7,11.77,3.18,8.59,-,-,-,6.77,6.27,15.35,-,-,79.57,-
1405,桃園市,2018/12/30,龍潭,2.7,0.22,-,37.5,12,4,7.07,1.6,5.47,-,-,-,7.32,6.87,14.19,-,-,84.67,-
1406,桃園市,2018/12/30,平鎮,1.9,0.3,-,34.5,13,7,10.15,1.62,8.53,-,-,-,4.82,4.39,15.11,-,-,81.08,-
1407,桃園市,2018/12/30,觀音,3,0.19,-,36,21,14,5.57,0.38,5.18,-,-,-,8.24,7.49,15.41,0,0,81.06,0
1408,桃園市,2018/12/29,桃園,2.9,0.38,-,26.7,15,7,12.07,1.97,10.11,2.057,0.091,1.967,3.15,2.77,13.78,-,-,77.27,-
1409,桃園市,2018/12/29,中壢,1.4,0.63,-,22.6,20,6,34.3,15.46,18.84,2.13,0.183,1.947,1.76,0.71,13.72,-,-,74.53,-
1410,桃園市,2018/12/29,大園,3.7,0.26,-,36.2,24,9,8.19,1.9,6.34,-,-,-,7.57,7.08,13.33,-,-,75.43,-
1411,桃園市,2018/12/29,龍潭,1.3,0.27,-,37.2,19,5,6.57,1.68,4.89,-,-,-,8.35,7.74,12.15,-,-,82.91,-
1412,桃園市,2018/12/29,平鎮,2.6,0.37,-,29.3,22,11,14.42,2.05,12.36,-,-,-,4.12,3.79,13.29,-,-,76.1,-
1413,桃園市,2018/12/29,觀音,1.9,0.24,-,34.4,27,18,5.26,0.62,4.61,-,-,-,8.71,7.84,13.41,0.5,4.13,77.32,980.7
1414,桃園市,2018/12/28,桃園,3.6,0.45,-,26,8,7,15.24,2.55,12.7,2.101,0.112,1.99,2.93,2.64,15.08,-,-,81.08,-
1415,桃園市,2018/12/28,中壢,3.3,0.94,-,20.3,19,9,44.97,23.24,21.73,2.247,0.277,1.97,1.58,0.63,15.08,-,-,78.64,-
1416,桃園市,2018/12/28,大園,3.3,0.31,-,36.2,26,8,9.37,3.19,6.23,-,-,-,7.29,6.78,14.46,-,-,80.03,-
1417,桃園市,2018/12/28,龍潭,0.6,0.31,-,37.2,15,8,7.53,1.46,6.07,-,-,-,7.26,6.93,13.37,-,-,87.99,-
1418,桃園市,2018/12/28,平鎮,2.7,0.43,-,28.4,20,10,18.5,3.51,14.98,-,-,-,3.93,3.6,14.73,-,-,80,-
1419,桃園市,2018/12/28,觀音,6.6,0.29,-,34.6,25,19,7.11,0.61,6.48,-,-,-,8.28,7.5,14.83,0.5,4.37,81.07,574.7
1420,桃園市,2018/12/27,桃園,2.8,0.37,-,26,10,9,14.47,2.08,12.39,2.031,0.092,1.94,2.84,2.67,16.91,-,-,88.48,-
1421,桃園市,2018/12/27,中壢,1.5,0.52,-,21.9,17,11,31.2,10.74,20.47,2.111,0.161,1.95,1.65,0.98,16.38,-,-,89.21,-
1422,桃園市,2018/12/27,大園,2.1,0.23,-,39.3,22,6,11.49,2.73,8.77,-,-,-,7.84,7.49,16.58,-,-,88.45,-
1423,桃園市,2018/12/27,龍潭,2.2,0.33,-,32,17,5,13.18,2.36,10.82,-,-,-,4.45,4.16,15.37,-,-,96.85,-
1424,桃園市,2018/12/27,平鎮,2.3,0.37,-,28.5,18,8,17.67,3.05,14.61,-,-,-,3.41,2.96,16.12,-,-,90.73,-
1425,桃園市,2018/12/27,觀音,3.8,0.26,-,36.1,24,15,4.23,0.25,3.98,-,-,-,7.06,6.51,17.05,0.5,4.99,89.43,388.97
1426,桃園市,2018/12/26,桃園,4.1,0.4,-,20,14,8,16.72,2.4,14.32,2.063,0.124,1.94,1.66,1.39,19.2,-,-,91.52,-
1427,桃園市,2018/12/26,中壢,2.2,0.68,-,12.5,16,18,45.35,18.24,27.12,2.21,0.254,1.956,0.93,0.55,19.31,-,-,93.35,-
1428,桃園市,2018/12/26,大園,2.1,0.19,-,34.4,17,5,12.73,3.59,9.14,-,-,-,5.04,4.76,19.23,-,-,97.57,-
1429,桃園市,2018/12/26,龍潭,2.6,0.35,-,25.6,20,7,17.37,1.64,15.74,-,-,-,2.11,1.86,18.41,-,-,98.35,-
1430,桃園市,2018/12/26,平鎮,1.9,0.35,-,21.4,14,7,21.34,3.37,17.97,-,-,-,2.13,1.95,18.81,-,-,95.78,-
